iso3,Entry_into_force_date
AUT,6/5/16
BEL,6/5/16
BGR,6/5/16
HRV,6/5/16
CYP,6/5/16
CZE,6/5/16
DNK,6/5/16
EST,6/5/16
FIN,6/5/16
FRA,6/5/16
DEU,6/5/16
GRC,6/5/16
HUN,6/5/16
IRL,6/5/16
ITA,6/5/16
LVA,6/5/16
LTU,6/5/16
LUX,6/5/16
MLT,6/5/16
NLD,6/5/16
POL,6/5/16
PRT,6/5/16
ROU,6/5/16
SVK,6/5/16
SVN,6/5/16
ESP,6/5/16
SWE,6/5/16
GLP,6/5/16
MTQ,6/5/16
GUF,6/5/16
REU,6/5/16
MYT,6/5/16
ALA,6/5/16
SJM,6/5/16
BVT,6/5/16
TKL,6/5/16
ASM,6/5/16
VIR,6/5/16
GUM,6/5/16
MNP,6/5/16
UMI,6/5/16
PRI,6/5/16
HMD,6/5/16
NFK,6/5/16
CXR,6/5/16
CCK,6/5/16
AUS,6/5/16
BRB,6/5/16
CHL,6/5/16
CRI,6/5/16
CUB,6/5/16
DMA,6/5/16
GAB,6/5/16
GUY,6/5/16
ISL,6/5/16
KOR,6/5/16
MUS,6/5/16
MOZ,6/5/16
MMR,6/5/16
NZL,6/5/16
NOR,6/5/16
OMN,6/5/16
PLW,6/5/16
KNA,6/5/16
SYC,6/5/16
SOM,6/5/16
ZAF,6/5/16
LKA,6/5/16
SDN,6/5/16
THA,6/5/16
TON,6/5/16
GBR,6/5/16
USA,6/5/16
URY,6/5/16
VUT,6/5/16
GIN,7/3/16
GRD,7/17/16
CPV,7/23/16
IDN,7/23/16
VCT,7/23/16
ATF,8/10/16
PYF,8/10/16
NCL,8/10/16
CPT,8/10/16
BLM,8/10/16
MAF,8/10/16
SPM,8/10/16
WLF,8/10/16
GMB,8/28/16
BHS,11/6/16
PAN,12/21/16
STP,12/22/16
GHA,12/29/16
TGO,1/1/17
MRT,2/22/17
MDV,4/15/17
SEN,4/22/17
MDG,4/26/17
ALB,5/7/17
MNE,6/16/17
JPN,6/18/17
NAM,8/17/17
KEN,9/22/17
PER,10/27/17
DJI,12/27/17
FRO,12/28/17
GRL,12/28/17
TUR,4/29/18
PHL,5/26/18
SLE,10/17/18
LBY,12/5/18
VNM,2/2/19
ECU,3/7/19
FJI,3/15/19
LBR,6/20/19
CAN,7/20/19
CIV,11/22/19
TTO,11/23/19
KHM,12/6/19
BGD,12/20/19
NIC,8/14/20
RUS,3/10/21
BEN,8/20/21
MAR,5/29/22
AGO,7/20/22
ERI,11/4/22
NGA,12/5/22
TLS,4/28/23
MEX,6/22/23
COM,3/31/24
PNG,4/6/24
MHL,6/26/24
SAU,2/5/25
UKR,3/12/25
CHN,4/16/25